season,episode,voted_out,vote
1,1,Sonja,1
1,2,B.B.,2
1,3,Stacey,3
1,4,Ramona,4
1,5,Dirk,5
1,6,Joel,6
1,7,Gretchen,7
1,8,Greg,8
1,9,Jenna,9
1,10,Gervase,10
1,11,Colleen,11
1,12,Sean,12
1,13,Sue,13
1,13,Rudy,14
2,1,Debb,1
2,2,Kel,2
2,3,Maralyn,3
2,4,Mitchell,4
2,5,Kimmi,5
2,7,Jeff,6
2,8,Alicia,7
2,10,Jerri,8
2,11,Nick,9
2,12,Amber,10
2,13,Rodger,11
2,14,Elisabeth,12
2,15,Keith,13
3,1,Diane,1
3,2,Jessie,2
3,3,Carl,3
3,4,Linda,4
3,5,Silas,5
3,6,Lindsey,6
3,7,Clarence,7
3,9,Kelly,8
3,10,Brandon,9
3,11,Frank,10
3,12,Kim P.,11
3,13,Teresa,12
3,14,Tom,13
3,14,Lex,14
4,1,Peter,1
4,2,Patricia,2
4,3,Hunter,3
4,4,Sarah,4
4,5,Gabriel,5
4,6,Gina,6
4,7,Boston Rob,7
4,8,John,8
4,10,Zoe,9
4,11,Tammy,10
4,12,Robert,11
4,13,Sean,12
4,14,Paschal,13
4,14,Kathy,14
5,1,John,1
5,2,Tanya,2
5,3,Jed,3
5,4,Ghandia,4
5,5,Stephanie,5
5,6,Robb,6
5,7,Shii Ann,7
5,8,Erin,8
5,9,Ken,9
5,10,Penny,10
5,12,Jake,11
5,13,Ted,12
5,14,Helen,13
5,14,Jan,14
6,1,Ryan,1
6,2,Janet,2
6,3,Daniel,3
6,4,JoAnna,4
6,5,Jeanne,5
6,6,Shawna,6
6,7,Roger,7
6,8,Dave,8
6,9,Deena,9
6,11,Alex,10
6,12,Christy,11
6,13,Heidi,12
6,14,Butch,13
6,14,Rob,14
7,1,Nicole,1
7,2,Ryan S.,2
7,3,Lillian,3
7,4,Burton,4
7,5,Michelle,5
7,6,Trish,6
7,7,Shawn,7
7,7,Osten,8
7,8,Andrew,9
7,9,Ryan O.,10
7,10,Rupert,11
7,11,Tijuana,12
7,12,Christa,13
7,13,Burton,14
7,14,Darrah,15
7,14,Jonny Fairplay,16
8,1,Tina,1
8,2,Rudy,2
8,4,Rob C.,3
8,5,Richard,4
8,7,Colby,5
8,8,Ethan,6
8,10,Jerri,7
8,11,Lex,8
8,12,Kathy,9
8,13,Alicia,10
8,14,Shii Ann,11
8,15,Tom,12
8,16,Rupert,13
8,16,Jenna L.,14
9,1,Brook,1
9,2,Dolly,2
9,3,John P.,3
9,3,Mia,4
9,4,Brady,5
9,5,Travis,6
9,6,Lisa,7
9,7,John K.,8
9,8,Rory,9
9,9,Lea,10
9,10,Chad,11
9,11,Leann,12
9,12,Ami,13
9,13,Julie,14
9,14,Eliza,15
9,14,Scout,16
10,1,Jolanda,1
10,2,Ashlee,2
10,3,Jeff,3
10,4,Kim,4
10,5,Willard,5
10,5,Angie,6
10,6,James,7
10,7,Ibrehem,8
10,8,Bobby Jon,9
10,9,Coby,10
10,11,Stephenie,11
10,12,Gregg,12
10,13,Caryn,13
10,14,Jenn,14
10,14,Ian,15
11,1,Jim,1
11,2,Morgan,2
11,3,Brianna,3
11,4,Brooke,4
11,5,Blake,5
11,6,Margaret,6
11,6,Brian,7
11,7,Amy,8
11,8,Brandon,9
11,9,Bobby Jon,10
11,10,Jamie,11
11,11,Gary,12
11,12,Judd,13
11,13,Cindy,14
11,14,Lydia,15
11,14,Rafe,16
12,1,Tina,1
12,2,Melinda,2
12,3,Misty,3
12,4,Ruth Marie,4
12,5,Bobby,5
12,6,Dan,6
12,8,Nick,7
12,9,Austin,8
12,10,Sally,9
12,12,Courtney,10
12,13,Shane,11
12,14,Cirie,12
12,15,Cirie,13
12,15,Terry,14
13,1,Sekou,1
13,2,Billy,2
13,3,Cecilia,3
13,4,J.P.,4
13,5,Stephannie,5
13,6,Cao Boi,6
13,6,Cristina,7
13,8,Jessica,8
13,9,Brad,9
13,10,Rebecca,10
13,10,Jenny,11
13,11,Nate,12
13,12,Candice,13
13,13,Jonathan,14
13,14,Parvati,15
13,15,Adam,16
13,15,Sundra,17
14,1,Jessica,1
14,2,Erica,2
14,3,Sylvia,3
14,4,Liliana,4
14,5,Rita,5
14,6,Anthony,6
14,7,Rocky,7
14,8,Lisi,8
14,9,Michelle,9
14,10,Edgardo,10
14,11,Mookie,11
14,12,Alex,12
14,13,Stacy,13
14,14,Boo,14
14,14,Yau-Man,15
15,1,Chicken,1
15,2,Ashley,2
15,3,Leslie,3
15,4,Dave,4
15,5,Aaron,5
15,6,Sherea,6
15,7,Jaime,7
15,8,Jean-Robert,8
15,9,Frosti,9
15,11,James,10
15,12,Erik,11
15,13,Peih-Gee,12
15,14,Denise,13
16,1,Jonny Fairplay,1
16,2,Mary,2
16,3,Yau-Man,3
16,4,Mikey B,4
16,5,Joel,5
16,6,Chet,6
16,7,Tracy,7
16,8,Ami,8
16,9,Eliza,9
16,10,Ozzy,10
16,11,Jason,11
16,12,Alexis,12
16,13,Erik,13
16,14,Natalie,14
16,14,Cirie,15
17,1,Michelle,1
17,1,Gillian,2
17,2,Paloma,3
17,3,Jacquie,4
17,4,GC,5
17,5,Kelly,6
17,6,Ace,7
17,6,Dan,8
17,7,Marcus,9
17,8,Charlie,10
17,9,Randy,11
17,11,Corinne,12
17,12,Crystal,13
17,13,Ken,14
17,13,Matty,15
18,1,Carolina,1
18,2,Candace,2
18,3,Jerry,3
18,4,Sandy,4
18,5,Spencer,5
18,7,Sydney,6
18,9,Brendan,7
18,10,Tyson,8
18,11,Sierra,9
18,12,Debbie,10
18,13,Coach,11
18,14,Taj,12
18,14,Erinn,13
19,1,Marisa,1
19,2,Betsy,2
19,3,Ben,3
19,4,Yasmin,4
19,5,Ashley,5
19,7,Liz,6
19,8,Erik,7
19,9,Kelly,8
19,10,Laura,9
19,12,John,10
19,13,Dave,11
19,13,Monica,12
19,14,Shambo,13
19,15,Jaison,14
19,15,Brett,15
20,1,Sugar,1
20,2,Stephenie,2
20,3,Randy,3
20,4,Cirie,4
20,5,Tom,5
20,6,Tyson,6
20,6,James,7
20,7,Boston Rob,8
20,8,Coach,9
20,9,Courtney,10
20,10,J.T.,11
20,11,Amanda,12
20,12,Candice,13
20,12,Danielle,14
20,13,Rupert,15
20,14,Colby,16
20,14,Jerri,17
21,1,Wendy,1
21,2,Shannon,2
21,3,Jimmy J.,3
21,4,Jimmy T.,4
21,5,Tyrone,5
21,6,Kelly B.,6
21,6,Yve,7
21,7,Jill,8
21,8,Alina,9
21,9,Marty,10
21,10,Brenda,11
21,13,Benry,12
21,14,Jane,13
21,15,Dan,14
21,15,Holly,15
22,1,Francesca,1
22,2,Matt,2
22,3,Russell,3
22,4,Kristina,4
22,5,Krista,5
22,6,Stephanie,6
22,7,Sarita,7
22,8,Matt,8
22,9,Mike,9
22,9,David,10
22,10,Julie,11
22,11,Ralph,12
22,11,Steve,13
22,12,Andrea,14
22,13,Grant,15
22,14,Andrea,16
22,14,Ashley,17
23,1,Semhar,1
23,2,Christine,2
23,3,Papa Bear,3
23,4,Stacey,4
23,5,Elyse,5
23,6,Mikayla,6
23,7,Ozzy,7
23,8,Keith,8
23,9,Ozzy,9
23,9,Jim,10
23,10,Dawn,11
23,10,Whitney,12
23,12,Cochran,13
23,13,Edna,14
23,14,Brandon,15
23,15,Rick,16
23,15,Ozzy,17
24,2,Nina,1
24,3,Matt,2
24,4,Bill,3
24,5,Monica,4
24,7,Jonas,5
24,8,Michael,6
24,9,Jay,7
24,10,Leif,8
24,11,Troyzan,9
24,12,Kat,10
24,13,Tarzan,11
24,14,Alicia,12
24,14,Christina,13
25,1,Zane,1
25,2,Roxy,2
25,3,Angie,3
25,4,Russell,4
25,5,Dawson,5
25,6,Katie,6
25,7,RC,7
25,8,Jeff,8
25,9,Artis,9
25,10,Pete,10
25,11,Jonathan,11
25,12,Carter,12
25,13,Abi-Maria,13
25,14,Malcolm,14
26,1,Francesca,1
26,2,Allie,2
26,3,Hope,3
26,4,Laura,4
26,5,Brandon,5
26,6,Matt,6
26,7,Julia,7
26,8,Corinne,8
26,9,Michael,9
26,10,Phillip,10
26,11,Malcolm,11
26,12,Reynold,12
26,12,Andrea,13
26,13,Brenda,14
26,14,Eddie,15
27,1,Laura B.,1
27,1,Candice,2
27,1,Marissa,3
27,2,Rachel,4
27,3,John,5
27,4,Brad,6
27,5,Laura M.,7
27,6,Kat,8
27,7,Laura B.,9
27,8,Aras,10
27,9,Vytas,11
27,9,Tina,12
27,10,Laura M.,13
27,11,Caleb,14
27,12,Katie,15
27,13,Hayden,16
27,14,Ciera,17
27,14,Tina,18
28,1,David,1
28,1,Garrett,2
28,2,Brice,3
28,3,J'Tia,4
28,4,Cliff,5
28,5,Alexis,6
28,6,Sarah,7
28,7,Morgan,8
28,8,LJ,9
28,9,Jeremiah,10
28,10,Jefra,11
28,11,Tasha,12
28,12,Trish,13
28,13,Spencer,14
28,13,Kass,15
29,1,Nadiya,1
29,2,Val,2
29,3,John,3
29,4,Drew,4
29,5,Kelley,5
29,6,Dale,6
29,8,Josh,7
29,9,Jeremy,8
29,10,Wes,9
29,11,Reed,10
29,12,Alec,11
29,13,Jon,12
29,14,Baylor,13
29,14,Keith,14
30,1,So,1
30,2,Vince,2
30,3,Nina,3
30,4,Lindsey,4
30,5,Max,5
30,6,Joaquin,6
30,7,Kelly,7
30,8,Hali,8
30,9,Joe,9
30,10,Jenn,10
30,11,Shirin,11
30,12,Tyler,12
30,13,Dan,13
30,14,Sierra,14
30,14,Rodney,15
31,1,Vytas,1
31,2,Shirin,2
31,3,Peih-Gee,3
31,4,Jeff,4
31,5,Monica,5
31,6,Woo,6
31,7,Kass,7
31,8,Andrew,8
31,9,Kelly,9
31,10,Ciera,10
31,11,Stephen,11
31,12,Joe,12
31,13,Abi-Maria,13
31,14,Kimmi,14
31,14,Keith,15
31,14,Kelley,16
32,1,Darnell,1
32,2,Jennifer,2
32,3,Liz,3
32,4,Alecia,4
32,5,Anna,5
32,6,Peter,6
32,8,Nick,7
32,9,Debbie,8
32,10,Scot,9
32,11,Julia,10
32,12,Jason,11
32,14,Cydney,12
33,1,Rachel,1
33,2,Mari,2
33,3,Paul,3
33,4,Lucy,4
33,5,CeCe,5
33,6,Figgy,6
33,7,Michaela,7
33,8,Michelle,8
33,9,Taylor,9
33,10,Chris,10
33,10,Jessica,11
33,11,Zeke,12
33,12,Will,13
33,12,Sunday,14
33,13,Jay,15
33,13,Bret,16
33,13,David,17
34,1,Ciera,1
34,1,Tony,2
34,2,Caleb,3
34,3,Malcolm,4
34,4,J.T.,5
34,5,Sandra,6
34,6,Jeff,7
34,7,Hali,8
34,7,Ozzy,9
34,8,Debbie,10
34,9,Zeke,11
34,10,Sierra,12
34,11,Andrea,13
34,11,Michaela,14
34,12,Cirie,15
34,12,Aubry,16
34,12,Tai,17
35,1,Katrina,1
35,2,Simone,2
35,3,Patrick,3
35,4,Alan,4
35,5,Roark,5
35,6,Ali,6
35,7,Jessica,7
35,8,Desi,8
35,9,Cole,9
35,10,JP,10
35,10,Joe,11
35,11,Lauren,12
35,12,Ashley,13
35,13,Mike,14
35,13,Devon,15
36,1,Gonzalez,1
36,1,Jacob,2
36,2,Morgan,3
36,3,Brendan,4
36,4,Stephanie,5
36,5,James,6
36,6,Bradley,7
36,7,Chris,8
36,8,Libby,9
36,9,Desiree,10
36,10,Jenna,11
36,10,Michael,12
36,11,Chelsea,13
36,12,Kellyn,14
36,13,Sebastian,15
36,13,Donathan,16
36,13,Angela,17
37,2,Jessica,1
37,3,Jeremy,2
37,4,Natalia,3
37,5,Natalie,4
37,6,Lyrsa,5
37,7,Elizabeth,6
37,8,John,7
37,9,Dan,8
37,10,Alec,9
37,10,Carl,10
37,11,Gabby,11
37,12,Christian,12
37,13,Davie,13
37,13,Alison,14
37,13,Kara,15
38,1,Reem,1
38,2,Keith,2
38,3,Chris,3
38,4,Rick,4
38,5,Aubry,5
38,5,Wendy,6
38,6,Joe,7
38,7,Eric,8
38,8,Julia,9
38,9,David,10
38,9,Kelley,11
38,10,Wardog,12
38,11,Ron,13
38,12,Aurora,14
38,13,Victoria,15
38,13,Lauren,16
38,13,Rick,17
39,1,Ronnie,1
39,2,Molly,2
39,3,Vince,3
39,4,Chelsea,4
39,5,Tom,5
39,6,Jason,6
39,7,Jack,7
39,8,Kellee,8
39,8,Jamal,9
39,9,Aaron,10
39,9,Missy,11
39,10,Elizabeth,12
39,11,Karishma,13
39,12,Elaine,14
39,13,Janet,15
39,13,Lauren,16
40,1,Natalie,1
40,1,Amber,2
40,2,Danni,3
40,3,Ethan,4
40,4,Tyson,5
40,5,Boston Rob,6
40,6,Parvati,7
40,6,Sandra,8
40,7,Yul,9
40,8,Wendell,10
40,9,Adam,11
40,10,Tyson,12
40,11,Sophie,13
40,12,Kim,14
40,13,Jeremy,15
40,13,Nick,16
40,14,Denise,17
40,14,Ben,18
40,14,Sarah,19
41,1,Abraham,1
41,1,Sara,2
41,2,Voce,3
41,3,Brad,4
41,4,JD,5
41,5,Genie,6
41,7,Sydney,7
41,8,Tiffany,8
41,9,Naseer,9
41,9,Evvie,10
41,10,Shan,11
41,11,Liana,12
41,12,Danny,13
41,13,Ricard,14
41,13,Heather,15
42,1,Zach,1
42,2,Marya,2
42,3,Jenny,3
42,4,Swati,4
42,5,Daniel,5
42,7,Lydia,6
42,8,Chanelle,7
42,9,Rocksroy,8
42,9,Tori,9
42,10,Hai,10
42,11,Drea,11
42,12,Omar,12
42,13,Lindsay,13
42,13,Jonathan,14
43,1,Morriah,1
43,2,Justine,2
43,3,Nneka,3
43,4,Lindsay,4
43,5,Geo,5
43,6,Elie,6
43,7,Dwight,7
43,8,Jeanine,8
43,9,James,9
43,9,Ryan,10
43,10,Noelle,11
43,11,Sami,12
43,12,Cody,13
43,13,Karla,14
43,13,Jesse,15
44,1,Maddy,1
44,2,Helen,2
44,3,Claire,3
44,4,Sarah,4
44,6,Josh,5
44,7,Matt,6
44,8,Brandon,7
44,9,Kane,8
44,10,Frannie,9
44,11,Danny,10
44,12,Jaime,11
44,13,Lauren,12
44,13,Carson,13
45,1,Hannah,1
45,2,Brandon,2
45,3,Sabiyah,3
45,4,Sean,4
45,5,Brando,5
45,6,J. Maya,6
45,7,Sifu,7
45,7,Kaleb,8
45,8,Kellie,9
45,9,Kendra,10
45,10,Bruce,11
45,11,Emily,12
45,12,Drew,13
45,13,Julie,14
45,13,Katurah,15
46,1,Jelinsky,1
46,2,Jess,2
46,4,Bhanu,3
46,5,Jem,4
46,6,Moriah,5
46,7,Tim,6
46,7,Soda,7
46,8,Hunter,8
46,9,Hunter,9
46,10,Tiffany,10
46,11,Venus,11
46,12,Q,12
46,13,Maria,13
46,13,Liz,14
