version_season,episode,voted_out,vote
US02,1.0,Debb,1
US02,2.0,Kel,2
US02,3.0,Maralyn,3
US02,4.0,Mitchell,4
US02,5.0,Kimmi,5
US02,7.0,Jeff,6
US02,8.0,Alicia,7
US02,10.0,Jerri,8
US02,11.0,Nick,9
US02,12.0,Amber,10
US02,13.0,Rodger,11
US02,14.0,Elisabeth,12
US02,15.0,Keith,13
US03,1.0,Diane,1
US03,2.0,Jessie,2
US03,3.0,Carl,3
US03,4.0,Linda,4
US03,5.0,Silas,5
US03,6.0,Lindsey,6
US03,7.0,Clarence,7
US03,9.0,Kelly,8
US03,10.0,Brandon,9
US03,11.0,Frank,10
US03,12.0,Kim P.,11
US03,13.0,Teresa,12
US03,14.0,Tom,13
US03,14.0,Lex,14
US04,1.0,Peter,1
US04,2.0,Patricia,2
US04,3.0,Hunter,3
US04,4.0,Sarah,4
US04,5.0,Gabriel,5
US04,6.0,Gina,6
US04,7.0,Boston Rob,7
US04,8.0,John,8
US04,10.0,Zoe,9
US04,11.0,Tammy,10
US04,12.0,Robert,11
US04,13.0,Sean,12
US04,14.0,Paschal,13
US04,14.0,Kathy,14
US05,1.0,John,1
US05,2.0,Tanya,2
US05,3.0,Jed,3
US05,4.0,Ghandia,4
US05,5.0,Stephanie,5
US05,6.0,Robb,6
US05,7.0,Shii Ann,7
US05,8.0,Erin,8
US05,9.0,Ken,9
US05,10.0,Penny,10
US05,12.0,Jake,11
US05,13.0,Ted,12
US05,14.0,Helen,13
US05,14.0,Jan,14
US06,1.0,Ryan,1
US06,2.0,Janet,2
US06,3.0,Daniel,3
US06,4.0,JoAnna,4
US06,5.0,Jeanne,5
US06,6.0,Shawna,6
US06,7.0,Roger,7
US06,8.0,Dave,8
US06,9.0,Deena,9
US06,11.0,Alex,10
US06,12.0,Christy,11
US06,13.0,Heidi,12
US06,14.0,Butch,13
US06,14.0,Rob,14
US08,1.0,Tina,1
US08,2.0,Rudy,2
US08,4.0,Rob C.,3
US08,5.0,Richard,4
US08,7.0,Colby,5
US08,8.0,Ethan,6
US08,10.0,Jerri,7
US08,11.0,Lex,8
US08,12.0,Kathy,9
US08,13.0,Alicia,10
US08,14.0,Shii Ann,11
US08,15.0,Tom,12
US08,16.0,Rupert,13
US08,16.0,Jenna L.,14
US09,1.0,Brook,1
US09,2.0,Dolly,2
US09,3.0,John P.,3
US09,3.0,Mia,4
US09,4.0,Brady,5
US09,5.0,Travis,6
US09,6.0,Lisa,7
US09,7.0,John K.,8
US09,8.0,Rory,9
US09,9.0,Lea,10
US09,10.0,Chad,11
US09,11.0,Leann,12
US09,12.0,Ami,13
US09,13.0,Julie,14
US09,14.0,Eliza,15
US09,14.0,Scout,16
US10,1.0,Jolanda,1
US10,2.0,Ashlee,2
US10,3.0,Jeff,3
US10,4.0,Kim,4
US10,5.0,Willard,5
US10,5.0,Angie,6
US10,6.0,James,7
US10,7.0,Ibrehem,8
US10,8.0,Bobby Jon,9
US10,9.0,Coby,10
US10,11.0,Stephenie,11
US10,12.0,Gregg,12
US10,13.0,Caryn,13
US10,14.0,Jenn,14
US10,14.0,Ian,15
US12,1.0,Tina,1
US12,2.0,Melinda,2
US12,3.0,Misty,3
US12,4.0,Ruth Marie,4
US12,5.0,Bobby,5
US12,6.0,Dan,6
US12,8.0,Nick,7
US12,9.0,Austin,8
US12,10.0,Sally,9
US12,12.0,Courtney,10
US12,13.0,Shane,11
US12,14.0,Cirie,12
US12,15.0,Cirie,13
US12,15.0,Terry,14
US13,1.0,Sekou,1
US13,2.0,Billy,2
US13,3.0,Cecilia,3
US13,4.0,J.P.,4
US13,5.0,Stephannie,5
US13,6.0,Cao Boi,6
US13,6.0,Cristina,7
US13,8.0,Jessica,8
US13,9.0,Brad,9
US13,10.0,Rebecca,10
US13,10.0,Jenny,11
US13,11.0,Nate,12
US13,12.0,Candice,13
US13,13.0,Jonathan,14
US13,14.0,Parvati,15
US13,15.0,Adam,16
US13,15.0,Sundra,17
US14,1.0,Jessica,1
US14,2.0,Erica,2
US14,3.0,Sylvia,3
US14,4.0,Liliana,4
US14,5.0,Rita,5
US14,6.0,Anthony,6
US14,7.0,Rocky,7
US14,8.0,Lisi,8
US14,9.0,Michelle,9
US14,10.0,Edgardo,10
US14,11.0,Mookie,11
US14,12.0,Alex,12
US14,13.0,Stacy,13
US14,14.0,Boo,14
US14,14.0,Yau-Man,15
US15,1.0,Chicken,1
US15,2.0,Ashley,2
US15,3.0,Leslie,3
US15,4.0,Dave,4
US15,5.0,Aaron,5
US15,6.0,Sherea,6
US15,7.0,Jaime,7
US15,8.0,Jean-Robert,8
US15,9.0,Frosti,9
US15,11.0,James,10
US15,12.0,Erik,11
US15,13.0,Peih-Gee,12
US15,14.0,Denise,13
US16,1.0,Jonny Fairplay,1
US16,2.0,Mary,2
US16,3.0,Yau-Man,3
US16,4.0,Mikey B,4
US16,5.0,Joel,5
US16,6.0,Chet,6
US16,7.0,Tracy,7
US16,8.0,Ami,8
US16,9.0,Eliza,9
US16,10.0,Ozzy,10
US16,11.0,Jason,11
US16,12.0,Alexis,12
US16,13.0,Erik,13
US16,14.0,Natalie,14
US16,14.0,Cirie,15
US17,1.0,Michelle,1
US17,1.0,Gillian,2
US17,2.0,Paloma,3
US17,3.0,Jacquie,4
US17,4.0,GC,5
US17,5.0,Kelly,6
US17,6.0,Ace,7
US17,6.0,Dan,8
US17,7.0,Marcus,9
US17,8.0,Charlie,10
US17,9.0,Randy,11
US17,11.0,Corinne,12
US17,12.0,Crystal,13
US17,13.0,Ken,14
US17,13.0,Matty,15
US18,1.0,Carolina,1
US18,2.0,Candace,2
US18,3.0,Jerry,3
US18,4.0,Sandy,4
US18,5.0,Spencer,5
US18,7.0,Sydney,6
US18,9.0,Brendan,7
US18,10.0,Tyson,8
US18,11.0,Sierra,9
US18,12.0,Debbie,10
US18,13.0,Coach,11
US18,14.0,Taj,12
US18,14.0,Erinn,13
US19,1.0,Marisa,1
US19,2.0,Betsy,2
US19,3.0,Ben,3
US19,4.0,Yasmin,4
US19,5.0,Ashley,5
US19,7.0,Liz,6
US19,8.0,Erik,7
US19,9.0,Kelly,8
US19,10.0,Laura,9
US19,12.0,John,10
US19,13.0,Dave,11
US19,13.0,Monica,12
US19,14.0,Shambo,13
US19,15.0,Jaison,14
US19,15.0,Brett,15
US20,1.0,Sugar,1
US20,2.0,Stephenie,2
US20,3.0,Randy,3
US20,4.0,Cirie,4
US20,5.0,Tom,5
US20,6.0,Tyson,6
US20,6.0,James,7
US20,7.0,Boston Rob,8
US20,8.0,Coach,9
US20,9.0,Courtney,10
US20,10.0,J.T.,11
US20,11.0,Amanda,12
US20,12.0,Candice,13
US20,12.0,Danielle,14
US20,13.0,Rupert,15
US20,14.0,Colby,16
US20,14.0,Jerri,17
US21,1.0,Wendy,1
US21,2.0,Shannon,2
US21,3.0,Jimmy J.,3
US21,4.0,Jimmy T.,4
US21,5.0,Tyrone,5
US21,6.0,Kelly B.,6
US21,6.0,Yve,7
US21,7.0,Jill,8
US21,8.0,Alina,9
US21,9.0,Marty,10
US21,10.0,Brenda,11
US21,13.0,Benry,12
US21,14.0,Jane,13
US21,15.0,Dan,14
US21,15.0,Holly,15
US22,1.0,Francesca,1
US22,2.0,Matt,2
US22,3.0,Russell,3
US22,4.0,Kristina,4
US22,5.0,Krista,5
US22,6.0,Stephanie,6
US22,7.0,Sarita,7
US22,8.0,Matt,8
US22,9.0,Mike,9
US22,9.0,David,10
US22,10.0,Julie,11
US22,11.0,Ralph,12
US22,11.0,Steve,13
US22,12.0,Andrea,14
US22,13.0,Grant,15
US22,14.0,Andrea,16
US22,14.0,Ashley,17
US23,1.0,Semhar,1
US23,2.0,Christine,2
US23,3.0,Papa Bear,3
US23,4.0,Stacey,4
US23,5.0,Elyse,5
US23,6.0,Mikayla,6
US23,7.0,Ozzy,7
US23,8.0,Keith,8
US23,9.0,Ozzy,9
US23,9.0,Jim,10
US23,10.0,Dawn,11
US23,10.0,Whitney,12
US23,12.0,Cochran,13
US23,13.0,Edna,14
US23,14.0,Brandon,15
US23,15.0,Rick,16
US23,15.0,Ozzy,17
US24,2.0,Nina,1
US24,3.0,Matt,2
US24,4.0,Bill,3
US24,5.0,Monica,4
US24,7.0,Jonas,5
US24,8.0,Michael,6
US24,9.0,Jay,7
US24,10.0,Leif,8
US24,11.0,Troyzan,9
US24,12.0,Kat,10
US24,13.0,Tarzan,11
US24,14.0,Alicia,12
US24,14.0,Christina,13
US25,1.0,Zane,1
US25,2.0,Roxy,2
US25,3.0,Angie,3
US25,4.0,Russell,4
US25,5.0,Dawson,5
US25,6.0,Katie,6
US25,7.0,RC,7
US25,8.0,Jeff,8
US25,9.0,Artis,9
US25,10.0,Pete,10
US25,11.0,Jonathan,11
US25,12.0,Carter,12
US25,13.0,Abi-Maria,13
US25,14.0,Malcolm,14
US26,1.0,Francesca,1
US26,2.0,Allie,2
US26,3.0,Hope,3
US26,4.0,Laura,4
US26,5.0,Brandon,5
US26,6.0,Matt,6
US26,7.0,Julia,7
US26,8.0,Corinne,8
US26,9.0,Michael,9
US26,10.0,Phillip,10
US26,11.0,Malcolm,11
US26,12.0,Reynold,12
US26,12.0,Andrea,13
US26,13.0,Brenda,14
US26,14.0,Eddie,15
US27,1.0,Laura B.,1
US27,1.0,Candice,2
US27,1.0,Marissa,3
US27,2.0,Rachel,4
US27,3.0,John,5
US27,4.0,Brad,6
US27,5.0,Laura M.,7
US27,6.0,Kat,8
US27,7.0,Laura B.,9
US27,8.0,Aras,10
US27,9.0,Vytas,11
US27,9.0,Tina,12
US27,10.0,Laura M.,13
US27,11.0,Caleb,14
US27,12.0,Katie,15
US27,13.0,Hayden,16
US27,14.0,Ciera,17
US27,14.0,Tina,18
US28,1.0,David,1
US28,1.0,Garrett,2
US28,2.0,Brice,3
US28,3.0,J'Tia,4
US28,4.0,Cliff,5
US28,5.0,Alexis,6
US28,6.0,Sarah,7
US28,7.0,Morgan,8
US28,8.0,LJ,9
US28,9.0,Jeremiah,10
US28,10.0,Jefra,11
US28,11.0,Tasha,12
US28,12.0,Trish,13
US28,13.0,Spencer,14
US28,13.0,Kass,15
US29,1.0,Nadiya,1
US29,2.0,Val,2
US29,3.0,John,3
US29,4.0,Drew,4
US29,5.0,Kelley,5
US29,6.0,Dale,6
US29,8.0,Josh,7
US29,9.0,Jeremy,8
US29,10.0,Wes,9
US29,11.0,Reed,10
US29,12.0,Alec,11
US29,13.0,Jon,12
US29,14.0,Baylor,13
US29,14.0,Keith,14
US30,1.0,So,1
US30,2.0,Vince,2
US30,3.0,Nina,3
US30,4.0,Lindsey,4
US30,5.0,Max,5
US30,6.0,Joaquin,6
US30,7.0,Kelly,7
US30,8.0,Hali,8
US30,9.0,Joe,9
US30,10.0,Jenn,10
US30,11.0,Shirin,11
US30,12.0,Tyler,12
US30,13.0,Dan,13
US30,14.0,Sierra,14
US30,14.0,Rodney,15
US31,1.0,Vytas,1
US31,2.0,Shirin,2
US31,3.0,Peih-Gee,3
US31,4.0,Jeff,4
US31,5.0,Monica,5
US31,6.0,Woo,6
US31,7.0,Kass,7
US31,8.0,Andrew,8
US31,9.0,Kelly,9
US31,10.0,Ciera,10
US31,11.0,Stephen,11
US31,12.0,Joe,12
US31,13.0,Abi-Maria,13
US31,14.0,Kimmi,14
US31,14.0,Keith,15
US31,14.0,Kelley,16
US32,1.0,Darnell,1
US32,2.0,Jennifer,2
US32,3.0,Liz,3
US32,4.0,Alecia,4
US32,5.0,Anna,5
US32,6.0,Peter,6
US32,8.0,Nick,7
US32,9.0,Debbie,8
US32,10.0,Scot,9
US32,11.0,Julia,10
US32,12.0,Jason,11
US32,14.0,Cydney,12
US33,1.0,Rachel,1
US33,2.0,Mari,2
US33,3.0,Paul,3
US33,4.0,Lucy,4
US33,5.0,CeCe,5
US33,6.0,Figgy,6
US33,7.0,Michaela,7
US33,8.0,Michelle,8
US33,9.0,Taylor,9
US33,10.0,Chris,10
US33,10.0,Jessica,11
US33,11.0,Zeke,12
US33,12.0,Will,13
US33,12.0,Sunday,14
US33,13.0,Jay,15
US33,13.0,Bret,16
US33,13.0,David,17
US34,1.0,Ciera,1
US34,1.0,Tony,2
US34,2.0,Caleb,3
US34,3.0,Malcolm,4
US34,4.0,J.T.,5
US34,5.0,Sandra,6
US34,6.0,Jeff,7
US34,7.0,Hali,8
US34,7.0,Ozzy,9
US34,8.0,Debbie,10
US34,9.0,Zeke,11
US34,10.0,Sierra,12
US34,11.0,Andrea,13
US34,11.0,Michaela,14
US34,12.0,Cirie,15
US34,12.0,Aubry,16
US34,12.0,Tai,17
US35,1.0,Katrina,1
US35,2.0,Simone,2
US35,3.0,Patrick,3
US35,4.0,Alan,4
US35,5.0,Roark,5
US35,6.0,Ali,6
US35,7.0,Jessica,7
US35,8.0,Desi,8
US35,9.0,Cole,9
US35,10.0,JP,10
US35,10.0,Joe,11
US35,11.0,Lauren,12
US35,12.0,Ashley,13
US35,13.0,Mike,14
US35,13.0,Devon,15
US36,1.0,Gonzalez,1
US36,1.0,Jacob,2
US36,2.0,Morgan,3
US36,3.0,Brendan,4
US36,4.0,Stephanie,5
US36,5.0,James,6
US36,6.0,Bradley,7
US36,7.0,Chris,8
US36,8.0,Libby,9
US36,9.0,Desiree,10
US36,10.0,Jenna,11
US36,10.0,Michael,12
US36,11.0,Chelsea,13
US36,12.0,Kellyn,14
US36,13.0,Sebastian,15
US36,13.0,Donathan,16
US36,13.0,Angela,17
US37,2.0,Jessica,1
US37,3.0,Jeremy,2
US37,4.0,Natalia,3
US37,5.0,Natalie,4
US37,6.0,Lyrsa,5
US37,7.0,Elizabeth,6
US37,8.0,John,7
US37,9.0,Dan,8
US37,10.0,Alec,9
US37,10.0,Carl,10
US37,11.0,Gabby,11
US37,12.0,Christian,12
US37,13.0,Davie,13
US37,13.0,Alison,14
US37,13.0,Kara,15
US38,1.0,Reem,1
US38,2.0,Keith,2
US38,3.0,Chris,3
US38,4.0,Rick,4
US38,5.0,Aubry,5
US38,5.0,Wendy,6
US38,6.0,Joe,7
US38,7.0,Eric,8
US38,8.0,Julia,9
US38,9.0,David,10
US38,9.0,Kelley,11
US38,10.0,Wardog,12
US38,11.0,Ron,13
US38,12.0,Aurora,14
US38,13.0,Victoria,15
US38,13.0,Lauren,16
US38,13.0,Rick,17
US39,1.0,Ronnie,1
US39,2.0,Molly,2
US39,3.0,Vince,3
US39,4.0,Chelsea,4
US39,5.0,Tom,5
US39,6.0,Jason,6
US39,7.0,Jack,7
US39,8.0,Kellee,8
US39,8.0,Jamal,9
US39,9.0,Aaron,10
US39,9.0,Missy,11
US39,10.0,Elizabeth,12
US39,11.0,Karishma,13
US39,12.0,Elaine,14
US39,13.0,Janet,15
US39,13.0,Lauren,16
US41,1.0,Abraham,1
US41,1.0,Sara,2
US41,2.0,Voce,3
US41,3.0,Brad,4
US41,4.0,JD,5
US41,5.0,Genie,6
US41,7.0,Sydney,7
US41,8.0,Tiffany,8
US41,9.0,Naseer,9
US41,9.0,Evvie,10
US41,10.0,Shan,11
US41,11.0,Liana,12
US41,12.0,Danny,13
US41,13.0,Ricard,14
US41,13.0,Heather,15
US42,1.0,Zach,1
US42,2.0,Marya,2
US42,3.0,Jenny,3
US42,4.0,Swati,4
US42,5.0,Daniel,5
US42,7.0,Lydia,6
US42,8.0,Chanelle,7
US42,9.0,Rocksroy,8
US42,9.0,Tori,9
US42,10.0,Hai,10
US42,11.0,Drea,11
US42,12.0,Omar,12
US42,13.0,Lindsay,13
US42,13.0,Jonathan,14
